address,end_inclusive,size,raw_hex,opcode,mnemonic,target,target_kind,is_seed,seed_sources
27032,27033,2,00 04,0,REST,,,False,
27034,27036,3,9D 12 70,157,SET_VOICE,,,False,
27037,27039,3,9E 12 70,158,YM_LOAD_ENV,,,False,
27040,27042,3,9F 12 70,159,YM_LOAD_REG,,,False,
27043,27044,2,82 09,130,SET_VOLUME,,,False,
27045,27046,2,3D 81,61,NOTE,,,False,
27047,27049,3,99 A5 69,153,SET_SEQ_PTR,27045,set_seq_ptr,False,
29660,29662,3,9D 72 6D,157,SET_VOICE,,,True,record_138
29663,29665,3,9E 0E 71,158,YM_LOAD_ENV,,,False,
29666,29667,2,82 0A,130,SET_VOLUME,,,False,
29668,29669,2,80 4F,128,SET_TEMPO,,,False,
29670,29671,2,84 0C,132,SET_TRANSPOSE,,,False,
29672,29673,2,A1 F1,161,YM_CARRIER_TL_DELTA,,,False,
29674,29676,3,A4 10 05,164,VAR_LOAD,,,False,
29677,29678,2,AB 00,171,REG_AND,,,False,
29679,29681,3,AE 3C 74,174,COND_JUMP_REG_Z,29756,conditional,False,
29684,29686,3,9D 72 6D,157,SET_VOICE,,,True,record_146
29687,29689,3,9E 0E 71,158,YM_LOAD_ENV,,,False,
29690,29691,2,82 0A,130,SET_VOLUME,,,False,
29692,29693,2,80 53,128,SET_TEMPO,,,False,
29694,29695,2,84 0C,132,SET_TRANSPOSE,,,False,
29696,29697,2,A1 F1,161,YM_CARRIER_TL_DELTA,,,False,
29698,29700,3,A4 10 05,164,VAR_LOAD,,,False,
29701,29702,2,AB 00,171,REG_AND,,,False,
29703,29705,3,AE 3C 74,174,COND_JUMP_REG_Z,29756,conditional,False,
29708,29710,3,9D 72 6D,157,SET_VOICE,,,True,record_154
29711,29713,3,9E 0E 71,158,YM_LOAD_ENV,,,False,
29714,29715,2,82 0A,130,SET_VOLUME,,,False,
29716,29717,2,80 57,128,SET_TEMPO,,,False,
29718,29719,2,84 0C,132,SET_TRANSPOSE,,,False,
29720,29721,2,A1 F1,161,YM_CARRIER_TL_DELTA,,,False,
29722,29724,3,A4 10 05,164,VAR_LOAD,,,False,
29725,29726,2,AB 00,171,REG_AND,,,False,
29727,29729,3,AE 3C 74,174,COND_JUMP_REG_Z,29756,conditional,False,
29732,29734,3,9D 72 6D,157,SET_VOICE,,,True,record_162
29735,29737,3,9E 0E 71,158,YM_LOAD_ENV,,,False,
29738,29739,2,82 0A,130,SET_VOLUME,,,False,
29740,29741,2,80 68,128,SET_TEMPO,,,False,
29742,29743,2,84 0C,132,SET_TRANSPOSE,,,False,
29744,29745,2,A1 F1,161,YM_CARRIER_TL_DELTA,,,False,
29746,29748,3,A4 10 05,164,VAR_LOAD,,,False,
29749,29750,2,AB 00,171,REG_AND,,,False,
29751,29753,3,AE 3C 74,174,COND_JUMP_REG_Z,29756,conditional,False,
29756,29757,2,00 09,0,REST,,,False,
29758,29759,2,3F 1A,63,NOTE,,,False,
29760,29761,2,00 0A,0,REST,,,False,
29762,29763,2,47 1A,71,NOTE,,,False,
29764,29765,2,00 0A,0,REST,,,False,
29766,29767,2,48 1A,72,NOTE,,,False,
29768,29769,2,00 0A,0,REST,,,False,
29770,29771,2,3F 1A,63,NOTE,,,False,
29772,29773,2,00 0A,0,REST,,,False,
29774,29775,2,43 1A,67,NOTE,,,False,
29776,29777,2,00 0A,0,REST,,,False,
29778,29779,2,47 1A,71,NOTE,,,False,
29780,29781,2,00 0A,0,REST,,,False,
29782,29783,2,3F 1A,63,NOTE,,,False,
29784,29785,2,00 0A,0,REST,,,False,
29786,29787,2,43 1A,67,NOTE,,,False,
29788,29789,2,00 0A,0,REST,,,False,
29790,29791,2,3F 1A,63,NOTE,,,False,
29792,29793,2,00 0A,0,REST,,,False,
29794,29795,2,3E 1A,62,NOTE,,,False,
29796,29797,2,00 0A,0,REST,,,False,
29798,29799,2,3D 1A,61,NOTE,,,False,
29800,29801,2,00 0A,0,REST,,,False,
29802,29803,2,44 1A,68,NOTE,,,False,
29804,29805,2,00 0A,0,REST,,,False,
29806,29807,2,3F 1A,63,NOTE,,,False,
29808,29809,2,00 0A,0,REST,,,False,
29810,29811,2,40 1A,64,NOTE,,,False,
29812,29813,2,00 0A,0,REST,,,False,
29814,29815,2,3D 1A,61,NOTE,,,False,
29816,29817,2,00 0A,0,REST,,,False,
29818,29819,2,3B 1A,59,NOTE,,,False,
29820,29821,2,00 0A,0,REST,,,False,
29822,29823,2,38 1A,56,NOTE,,,False,
29824,29825,2,00 0A,0,REST,,,False,
29826,29827,2,3D 1A,61,NOTE,,,False,
29828,29829,2,00 0A,0,REST,,,False,
29830,29831,2,38 1A,56,NOTE,,,False,
29832,29833,2,00 0A,0,REST,,,False,
29834,29835,2,3C 1A,60,NOTE,,,False,
29836,29837,2,00 0A,0,REST,,,False,
29838,29839,2,3D 1A,61,NOTE,,,False,
29840,29841,2,00 0A,0,REST,,,False,
29842,29843,2,3C 1A,60,NOTE,,,False,
29844,29845,2,00 0A,0,REST,,,False,
29846,29847,2,38 1A,56,NOTE,,,False,
29848,29849,2,00 0A,0,REST,,,False,
29850,29851,2,33 1A,51,NOTE,,,False,
29852,29853,2,00 0A,0,REST,,,False,
29854,29855,2,38 1A,56,NOTE,,,False,
29856,29857,2,00 0A,0,REST,,,False,
29858,29859,2,3B 1A,59,NOTE,,,False,
29860,29861,2,00 0A,0,REST,,,False,
29862,29863,2,33 1A,51,NOTE,,,False,
29864,29865,2,00 0A,0,REST,,,False,
29866,29867,2,38 1A,56,NOTE,,,False,
29868,29869,2,00 0A,0,REST,,,False,
29870,29871,2,3B 1A,59,NOTE,,,False,
29872,29873,2,00 0A,0,REST,,,False,
29874,29875,2,38 1A,56,NOTE,,,False,
29876,29877,2,00 0A,0,REST,,,False,
29878,29879,2,39 1A,57,NOTE,,,False,
29880,29881,2,00 0A,0,REST,,,False,
29882,29883,2,81 02,129,ADD_TEMPO,,,False,
29884,29885,2,3B 1A,59,NOTE,,,False,
29886,29887,2,00 0A,0,REST,,,False,
29888,29889,2,37 1A,55,NOTE,,,False,
29890,29891,2,00 0A,0,REST,,,False,
29892,29893,2,3D 1A,61,NOTE,,,False,
29894,29895,2,00 0A,0,REST,,,False,
29896,29897,2,39 1A,57,NOTE,,,False,
29898,29899,2,00 0A,0,REST,,,False,
29900,29901,2,3F 1A,63,NOTE,,,False,
29902,29903,2,00 0A,0,REST,,,False,
29904,29905,2,3B 1A,59,NOTE,,,False,
29906,29907,2,00 0A,0,REST,,,False,
29908,29909,2,3D 1A,61,NOTE,,,False,
29910,29911,2,00 0A,0,REST,,,False,
29912,29913,2,3F 1A,63,NOTE,,,False,
29914,29915,2,00 0A,0,REST,,,False,
29916,29917,2,41 1A,65,NOTE,,,False,
29918,29919,2,00 0A,0,REST,,,False,
29920,29921,2,3D 1A,61,NOTE,,,False,
29922,29923,2,00 0A,0,REST,,,False,
29924,29925,2,43 1A,67,NOTE,,,False,
29926,29927,2,00 0A,0,REST,,,False,
29928,29929,2,3F 1A,63,NOTE,,,False,
29930,29931,2,00 0A,0,REST,,,False,
29932,29933,2,46 1A,70,NOTE,,,False,
29934,29935,2,00 0A,0,REST,,,False,
29936,29937,2,43 1A,67,NOTE,,,False,
29938,29939,2,00 0A,0,REST,,,False,
29940,29941,2,40 1A,64,NOTE,,,False,
29942,29943,2,00 0A,0,REST,,,False,
29944,29945,2,3D 1A,61,NOTE,,,False,
29946,29947,2,00 0A,0,REST,,,False,
29948,29949,2,44 1A,68,NOTE,,,False,
29950,29951,2,00 0A,0,REST,,,False,
29952,29953,2,46 1A,70,NOTE,,,False,
29954,29955,2,00 0A,0,REST,,,False,
29956,29957,2,48 1A,72,NOTE,,,False,
29958,29959,2,00 0A,0,REST,,,False,
29960,29961,2,49 1A,73,NOTE,,,False,
29962,29963,2,00 0A,0,REST,,,False,
29964,29965,2,4B 1A,75,NOTE,,,False,
29966,29967,2,00 0A,0,REST,,,False,
29968,29969,2,48 1A,72,NOTE,,,False,
29970,29971,2,00 0A,0,REST,,,False,
29972,29973,2,44 1A,68,NOTE,,,False,
29974,29975,2,00 0A,0,REST,,,False,
29976,29977,2,40 1A,64,NOTE,,,False,
29978,29979,2,00 0A,0,REST,,,False,
29980,29981,2,3F 19,63,NOTE,,,False,
29982,29983,2,00 09,0,REST,,,False,
29984,29985,2,4B 19,75,NOTE,,,False,
29986,29987,2,00 09,0,REST,,,False,
29988,29989,2,3F 19,63,NOTE,,,False,
29990,29991,2,00 09,0,REST,,,False,
29992,29993,2,4B 19,75,NOTE,,,False,
29994,29995,2,00 09,0,REST,,,False,
29996,29997,2,81 02,129,ADD_TEMPO,,,False,
29998,29999,2,00 09,0,REST,,,False,
30000,30001,2,3B 1A,59,NOTE,,,False,
30002,30003,2,00 0A,0,REST,,,False,
30004,30005,2,44 1A,68,NOTE,,,False,
30006,30007,2,00 0A,0,REST,,,False,
30008,30009,2,3A 1A,58,NOTE,,,False,
30010,30011,2,00 0A,0,REST,,,False,
30012,30013,2,3B 1A,59,NOTE,,,False,
30014,30015,2,00 0A,0,REST,,,False,
30016,30017,2,40 1A,64,NOTE,,,False,
30018,30019,2,00 0A,0,REST,,,False,
30020,30021,2,3B 1A,59,NOTE,,,False,
30022,30023,2,00 0A,0,REST,,,False,
30024,30025,2,38 1A,56,NOTE,,,False,
30026,30027,2,00 0A,0,REST,,,False,
30028,30029,2,37 1A,55,NOTE,,,False,
30030,30031,2,00 0A,0,REST,,,False,
30032,30033,2,31 1A,49,NOTE,,,False,
30034,30035,2,00 0A,0,REST,,,False,
30036,30037,2,3F 1A,63,NOTE,,,False,
30038,30039,2,00 0A,0,REST,,,False,
30040,30041,2,3D 1A,61,NOTE,,,False,
30042,30043,2,00 0A,0,REST,,,False,
30044,30045,2,37 1A,55,NOTE,,,False,
30046,30047,2,00 0A,0,REST,,,False,
